"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
Afghanistan,"209,557",+18,"7,896",,"191,371",+59,"10,290",45,"5,142",194,"1,207,332","29,625","40,754,388","Last updated: March 13, 2023, 13:55 "
Iceland,"209,137",,229,,N/A,N/A,N/A,2,"605,504",663,"1,996,384","5,780,036","345,393","Last updated: March 13, 2023, 13:55 "
Kyrgyzstan,"206,708",,"2,991",,"196,406",,"7,311",131,"30,722",445,"1,907,195","283,460","6,728,271","Last updated: March 13, 2023, 13:55 "
Guadeloupe,"201,886",,"1,010",,N/A,N/A,N/A,19,"504,975","2,526","938,039","2,346,306","399,794","Last updated: March 13, 2023, 13:55 "
El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389","Last updated: March 13, 2023, 13:55 "
Trinidad and Tobago,"189,918",,"4,355",,"185,101",,462,8,"135,021","3,096","900,861","640,460","1,406,585","Last updated: March 13, 2023, 13:55 "
Maldives,"185,738",,311,,"163,687",,"21,740",25,"343,333",575,"2,213,831","4,092,223","540,985","Last updated: March 13, 2023, 13:55 "
Ghana,"171,229",,"1,462",,"169,726",,41,2,"5,286",45,"2,531,089","78,131","32,395,450","Last updated: March 13, 2023, 13:55 "
Namibia,"171,156",,"4,090",,"166,776",,290,,"64,983","1,553","1,062,663","403,460","2,633,874","Last updated: March 13, 2023, 13:55 "
Uganda,"170,544",,"3,630",,"100,431",,"66,483",3,"3,521",75,"3,012,408","62,198","48,432,863","Last updated: March 13, 2023, 13:55 "
Jamaica,"154,416",,"3,514",,"102,529",,"48,373",,"51,729","1,177","1,183,986","396,633","2,985,094","Last updated: March 13, 2023, 13:55 "
Cambodia,"138,720",,"3,056",,"135,660",,4,,"8,080",178,"3,091,420","180,062","17,168,639","Last updated: March 13, 2023, 13:55 "
Rwanda,"133,194",,"1,468",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464","Last updated: March 13, 2023, 13:55 "
Cameroon,"124,392",,"1,965",,"122,344",,83,13,"4,457",70,"1,751,774","62,762","27,911,548","Last updated: March 13, 2023, 13:55 "
Malta,"117,610",,828,,"116,117",,665,4,"264,868","1,865","2,119,315","4,772,877","444,033","Last updated: March 13, 2023, 13:55 "
