"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
Solomon Islands,"24,575",,153,,N/A,N/A,N/A,1,"34,077",212,,,"721,159","Last updated: March 01, 2023, 13:47 "
Micronesia,"23,671",,60,,N/A,N/A,N/A,1,"201,474",511,"54,967","467,848","117,489","Last updated: March 01, 2023, 13:47 "
San Marino,"23,536",,122,,"23,276",,138,4,"690,509","3,579","157,634","4,624,732","34,085","Last updated: March 01, 2023, 13:47 "
Timor-Leste,"23,418",,138,,"23,102",,178,,"17,101",101,"278,529","203,391","1,369,429","Last updated: March 01, 2023, 13:47 "
Burkina Faso,"22,056",,396,,"21,596",,64,,998,18,"248,995","11,265","22,102,838","Last updated: March 01, 2023, 13:47 "
Liechtenstein,"21,421",,89,,"21,294",,38,3,"558,027","2,318","112,457","2,929,559","38,387","Last updated: March 01, 2023, 13:47 "
Gibraltar,"20,423",,111,,"16,579",,"3,733",,"605,952","3,293","534,283","15,852,213","33,704","Last updated: March 01, 2023, 13:47 "
Grenada,"19,680",,238,,"19,358",,84,4,"173,430","2,097","182,981","1,612,523","113,475","Last updated: March 01, 2023, 13:47 "
Bermuda,"18,799",,160,,"18,632",,7,,"303,508","2,583","1,027,337","16,586,270","61,939","Last updated: March 01, 2023, 13:47 "
Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"6,779,100","Last updated: March 01, 2023, 13:47 "
South Sudan,"18,368",,138,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511","Last updated: March 01, 2023, 13:47 "
Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"9,957,464","Last updated: March 01, 2023, 13:47 "
Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662","Last updated: March 01, 2023, 13:47 "
