"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
Congo,"25,375",,386,,"24,006",,983,,"4,377",67,"347,815","59,991","5,797,805","Last updated: March 15, 2023, 01:08 "
Solomon Islands,"24,575",,153,,N/A,N/A,N/A,1,"34,077",212,,,"721,159","Last updated: March 15, 2023, 01:08 "
Micronesia,"23,948",,61,,N/A,N/A,N/A,1,"203,832",519,"54,967","467,848","117,489","Last updated: March 15, 2023, 01:08 "
San Marino,"23,616",,122,,"23,471",,23,4,"692,856","3,579","157,634","4,624,732","34,085","Last updated: March 15, 2023, 01:08 "
Timor-Leste,"23,419",,138,,"23,102",,179,,"17,101",101,"278,529","203,391","1,369,429","Last updated: March 15, 2023, 01:08 "
Burkina Faso,"22,056",,396,,"21,596",,64,,998,18,"248,995","11,265","22,102,838","Last updated: March 15, 2023, 01:08 "
Liechtenstein,"21,433",,89,,"21,337",,7,3,"558,340","2,318","112,457","2,929,559","38,387","Last updated: March 15, 2023, 01:08 "
Gibraltar,"20,462",,111,,"16,579",,"3,772",,"607,109","3,293","534,283","15,852,213","33,704","Last updated: March 15, 2023, 01:08 "
Grenada,"19,680",,238,,"19,358",,84,4,"173,430","2,097","182,981","1,612,523","113,475","Last updated: March 15, 2023, 01:08 "
Bermuda,"18,828",,160,,"18,653",,15,,"303,976","2,583","1,028,312","16,602,012","61,939","Last updated: March 15, 2023, 01:08 "
Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"6,779,100","Last updated: March 15, 2023, 01:08 "
South Sudan,"18,368",,138,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511","Last updated: March 15, 2023, 01:08 "
Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"9,957,464","Last updated: March 15, 2023, 01:08 "
Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662","Last updated: March 15, 2023, 01:08 "
Tonga,"16,810",,13,,"15,638",,"1,159",,"156,011",121,"535,009","4,965,327","107,749","Last updated: March 15, 2023, 01:08 "
Samoa,"16,607",,29,,"1,605",,"14,973",,"82,116",143,"187,397","926,612","202,239","Last updated: March 15, 2023, 01:08 "
Monaco,"16,119",,67,,"15,992",,60,4,"405,173","1,684","78,646","1,976,875","39,783","Last updated: March 15, 2023, 01:08 "
Dominica,"15,760",,74,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344","Last updated: March 15, 2023, 01:08 "
Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097","Last updated: March 15, 2023, 01:08 "
Marshall Islands,"15,649",,17,,"15,528",,104,,"260,569",283,,,"60,057","Last updated: March 15, 2023, 01:08 "
CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678","Last updated: March 15, 2023, 01:08 "
Gambia,"12,598",,372,,"12,189",,37,,"4,924",145,"155,686","60,851","2,558,482","Last updated: March 15, 2023, 01:08 "
Saint Martin,"12,271",,63,,"1,399",,"10,809",7,"308,860","1,586","112,382","2,828,643","39,730","Last updated: March 15, 2023, 01:08 "
Vanuatu,"12,014",,14,,"11,976",,24,,"37,330",44,"24,976","77,606","321,832","Last updated: March 15, 2023, 01:08 "
Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973","Last updated: March 15, 2023, 01:08 "
Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867","Last updated: March 15, 2023, 01:08 "
Caribbean Netherlands,"11,679",,38,,"10,476",,"1,165",,"438,286","1,426","30,126","1,130,559","26,647","Last updated: March 15, 2023, 01:08 "
Sint Maarten,"11,020",,91,,"10,905",,24,N/A,"250,648","2,070","62,056","1,411,454","43,966","Last updated: March 15, 2023, 01:08 "
Eritrea,"10,189",,103,,"10,086",,0,,"2,782",28,"23,693","6,470","3,662,244","Last updated: March 15, 2023, 01:08 "
Niger,"9,931",,312,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660","Last updated: March 15, 2023, 01:08 "
St. Vincent Grenadines,"9,589",,123,,"9,466",,0,,"85,961","1,103","113,703","1,019,292","111,551","Last updated: March 15, 2023, 01:08 "
Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509","Last updated: March 15, 2023, 01:08 "
Comoros,"9,008",,161,,"8,838",,9,,"9,927",177,,,"907,419","Last updated: March 15, 2023, 01:08 "
Guinea-Bissau,"8,960",,176,,"8,660",,124,6,"4,342",85,"145,231","70,385","2,063,367","Last updated: March 15, 2023, 01:08 "
Liberia,"8,090",,295,,"7,783",,12,2,"1,525",56,"139,824","26,356","5,305,117","Last updated: March 15, 2023, 01:08 "
Sierra Leone,"7,760",,126,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436","Last updated: March 15, 2023, 01:08 "
Chad,"7,682",,194,,"4,874",,"2,614",,441,11,"191,341","10,988","17,413,580","Last updated: March 15, 2023, 01:08 "
British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596","Last updated: March 15, 2023, 01:08 "
Cook Islands,"7,033",,2,,"7,030",,1,,"400,262",114,"19,690","1,120,596","17,571","Last updated: March 15, 2023, 01:08 "
Saint Kitts and Nevis,"6,597",,47,,"6,548",,2,,"122,459",872,"126,932","2,356,221","53,871","Last updated: March 15, 2023, 01:08 "
Turks and Caicos,"6,561",,38,,"6,504",,19,4,"165,094",956,"612,335","15,408,143","39,741","Last updated: March 15, 2023, 01:08 "
Sao Tome and Principe,"6,281",,77,,"6,204",,0,,"27,587",338,"29,036","127,530","227,679","Last updated: March 15, 2023, 01:08 "
Palau,"5,994",,9,,"5,985",,0,,"328,745",494,"69,272","3,799,265","18,233","Last updated: March 15, 2023, 01:08 "
St. Barth,"5,441",,6,,N/A,N/A,N/A,,"547,109",603,"78,646","7,908,095","9,945","Last updated: March 15, 2023, 01:08 "
Nauru,"5,393",,1,,"5,347",,45,,"494,635",92,"20,509","1,881,042","10,903","Last updated: March 15, 2023, 01:08 "
Kiribati,"5,014",,18,,"2,703",,"2,293",3,"40,626",146,,,"123,419","Last updated: March 15, 2023, 01:08 "
Anguilla,"3,904",,12,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230","Last updated: March 15, 2023, 01:08 "
Macao,"3,514",,121,,"3,392",,1,,"5,264",181,"7,850","11,760","667,490","Last updated: March 15, 2023, 01:08 "
Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488","5,759","Last updated: March 15, 2023, 01:08 "
Wallis and Futuna,"3,427",,7,,438,,"2,982",,"312,056",637,"20,508","1,867,419","10,982","Last updated: March 15, 2023, 01:08 "
Tuvalu,"2,805",,,,,,"2,805",,"232,471",,,,"12,066","Last updated: March 15, 2023, 01:08 "
Saint Helena,"2,166",,,,2,,"2,164",,"354,211",,,,"6,115","Last updated: March 15, 2023, 01:08 "
Falkland Islands,"1,930",,,,"1,930",,0,,"545,352",,"8,632","2,439,107","3,539","Last updated: March 15, 2023, 01:08 "
Montserrat,"1,403",,8,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965","Last updated: March 15, 2023, 01:08 "
Niue,793,+1,,,791,+1,2,,"488,903",,,,"1,622","Last updated: March 15, 2023, 01:08 "
Diamond Princess,712,,13,,699,,0,,,,,,,"Last updated: March 15, 2023, 01:08 "
Vatican City,29,,,,29,,0,,"36,295",,,,799,"Last updated: March 15, 2023, 01:08 "
Western Sahara,10,,1,,9,,0,,16,2,,,"626,161","Last updated: March 15, 2023, 01:08 "
MS Zaandam,9,,2,,7,,0,,,,,,,"Last updated: March 15, 2023, 01:08 "
Tokelau,5,,,,,,5,,"3,628",,,,"1,378","Last updated: March 15, 2023, 01:08 "
China,"503,302",,"5,272",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400","Last updated: March 15, 2023, 01:08 "
